1.274: [GC 1.274: [DefNew: 896K->64K(960K), 0.0136197 secs] 976K->818K(524224K), 0.0137645 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
1.310: [GC 1.310: [DefNew: 960K->63K(960K), 0.0025744 secs] 1731K->1719K(524224K), 0.0026822 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.324: [GC 1.324: [DefNew: 959K->64K(960K), 0.0028847 secs] 2746K->2704K(524224K), 0.0029993 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.329: [GC 1.329: [DefNew: 960K->63K(960K), 0.0020128 secs] 3600K->3561K(524224K), 0.0021071 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.334: [GC 1.334: [DefNew: 959K->64K(960K), 0.0030310 secs] 4578K->4535K(524224K), 0.0031427 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.340: [GC 1.340: [DefNew: 960K->63K(960K), 0.0025888 secs] 5433K->5415K(524224K), 0.0027394 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.345: [GC 1.345: [DefNew: 959K->64K(960K), 0.0024676 secs] 6369K->6348K(524224K), 0.0025311 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.351: [GC 1.351: [DefNew: 960K->64K(960K), 0.0038832 secs] 7469K->7450K(524224K), 0.0039448 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.358: [GC 1.358: [DefNew: 960K->64K(960K), 0.0029170 secs] 8348K->8335K(524224K), 0.0029757 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.363: [GC 1.363: [DefNew: 960K->63K(960K), 0.0025253 secs] 9233K->9219K(524224K), 0.0025802 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.368: [GC 1.368: [DefNew: 959K->64K(960K), 0.0024945 secs] 10117K->10046K(524224K), 0.0025460 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.373: [GC 1.373: [DefNew: 960K->63K(960K), 0.0020205 secs] 10945K->10896K(524224K), 0.0020855 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
